,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
41,13 Reasons Why,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,99.0,80
42,Sand Castle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,89.0,80
43,Salvador Martinha - Tip of the Tongue,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,82
44,Sandy Wexler,TV-14,For mature audiences.  May not be suitable for children 17 and under.,90,2017,92.0,80
45,O Amor no DivÌ£,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,92.0,82
46,Stronger Than the World,NR,For mature audiences.  May not be suitable for children 17 and under.,124,2016,92.0,82
47,Back and Forth,NR,This movie has not been rated.,124,2016,92.0,82
48,Happily Married,TV-14,This movie has not been rated.,90,2015,92.0,82
49,Pandora,TV-MA,This movie has not been rated.,110,2016,92.0,82
51,The Office (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,97.0,80
54,90210,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,62.0,80
55,Gossip Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,96.0,80
59,Parks and Recreation,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,94.0,80
60,Glee,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,92.0,80
62,Family Guy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,98.0,80
63,Criminal Minds,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,98.0,80
64,Friends,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2003,98.0,80
65,The Secret Life of the American Teenager,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,81.0,80
66,One Tree Hill,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,90.0,80
69,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97.0,80
70,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
71,American Horror Story,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,90.0,80
72,Orange Is the New Black,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,98.0,80
73,Inside Russia's Toughest Prison,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,98.0,82
75,Bates Motel,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,80
78,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90.0,80
79,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
80,The Get Down,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,80
81,Love,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80.0,82
83,The OA,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,80.0,82
84,Stranger Things,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,90.0,80
85,Ingobernable,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,96.0,80
86,Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97.0,80
87,Meet the Blacks,R,"pervasive language, some sexual material, violence and drug use",100,2016,79.0,80
88,Finding Dory,PG,mild thematic elements,60,2016,98.0,80
90,Sausage Party,R,"strong crude sexual content, pervasive language, and drug use",100,2016,91.0,80
91,Pete's Dragon,PG,"for action, peril and brief language",60,2016,93.0,80
92,Kevin Hart: What Now?,R,"some sexual material, and language throughout",100,2016,97.0,80
94,The Discovery,TV-MA,"some sexual material, and language throughout",110,2017,97.0,82
97,Chewing Gum,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,93.0,80
98,Cheer Squad,TV-PG,For mature audiences.  May not be suitable for children 17 and under.,70,2016,61.0,80
99,Only for One Night,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,78.0,80
100,The Life Aquatic with Steve Zissou,R,"language, some drug use, violence and partial nudity",100,2004,78.0,82
102,The L Word,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2009,78.0,82
104,30 Rock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,66.0,80
105,Mad Men,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,75.0,80
106,It's Always Sunny in Philadelphia,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
107,Californication,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
111,Portlandia,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
113,Don't Trust the B---- in Apartment 23,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,62.0,82
114,Friends with Benefits,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,62.0,82
115,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92.0,80
116,Halt and Catch Fire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,82
117,5 to 7,R,some sexual material,100,2014,92.0,82
119,Chef's Table,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,92.0,82
120,Documentary Now!,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,82
122,Better Call Saul,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,95.0,80
124,Schitt's Creek,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,80
125,Lovesick,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,74.0,82
126,Flaked,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,74.0,82
127,Master of None,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,74.0,82
128,Chelsea,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,74.0,82
129,Abstract: The Art of Design,TV-14,For mature audiences.  May not be suitable for children 17 and under.,90,2017,74.0,82
130,Cooper Barrett's Guide to Surviving Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74.0,82
131,The Great British Baking Show,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,94.0,80
132,Life in Pieces,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,68.0,80
133,Crazy Ex-Girlfriend,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,68.0,82
134,Easy,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,68.0,82
136,No Tomorrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,68.0,82
137,Minimalism: A Documentary About the Important Things,TV-PG,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,70,2016,68.0,82
139,Hot Girls Wanted: Turned On,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,68.0,82
144,Win It All,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,68.0,82
145,MerlÌ?,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,68.0,82
146,Amy Schumer: The Leather Special,TV-MA,Parental guidance suggested. May not be suitable for all children.,110,2017,68.0,82
147,Louis C.K. 2017,TV-MA,Parental guidance suggested. May not be suitable for all children.,110,2017,71.0,80
148,Dave Chappelle,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,94.0,80
149,Almost Adults,NR,This movie has not been rated.,124,2016,94.0,82
150,The Brothers,R,strong sexual content and language,100,2001,94.0,82
151,Skins,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,94.0,82
152,The Cleveland Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
153,Absolutely Fabulous,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,59.0,80
155,Raising Hope,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,73.0,80
156,Come Fly With Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,73.0,82
158,Brickleberry,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,63.0,80
160,BoJack Horseman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,63.0,82
161,Being Mary Jane: The Series,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,63.0,82
164,Unbreakable Kimmy Schmidt,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,63.0,82
167,Bordertown,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86.0,80
168,Jane The Virgin,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91.0,80
170,Dope,R,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79.0,80
172,The Carmichael Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
175,November Rule,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,82
179,Haters Back Off,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,58.0,80
180,Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96.0,80
181,Skins,TV-MA,"thematic elements, scary images, action and peril",110,2017,96.0,82
182,A Weekend with the Family,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,96.0,82
183,Crazyhead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,96.0,82
184,Queen of Katwe,PG,"thematic elements, an accident scene and some suggestive material",60,2016,96.0,81
185,Little Boxes,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,61.0,80
186,Deidra & Laney Rob a Train,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2017,61.0,82
190,Hurricane Bianca,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,61.0,82
191,Honeytrap,NR,This movie has not been rated.,124,2014,61.0,82
192,Greenleaf,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,80
193,Lazy Eye,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,62.0,82
194,Like Cotton Twines,NR,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,124,2016,62.0,82
195,The Wedding Party,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,62.0,82
198,Boy Bye,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2016,62.0,82
200,Nancy Drew,PG,Parental guidance suggested. May not be suitable for children.,60,2007,62.0,82
202,Nurse Jackie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,82.0,80
204,Drop Dead Diva,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,82.0,82
205,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91.0,80
206,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79.0,80
207,Life Unexpected,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,55.0,80
212,Being Human (U.S.),TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,58.0,80
214,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,58.0,82
215,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80.0,80
217,The Angriest Man in Brooklyn,R,Restricted. May be inappropriate for children 17 and under.,100,2014,80.0,82
223,Sense8,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,81.0,80
226,Girlfriends' Guide to Divorce,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,63.0,80
235,Fried,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,63.0,82
236,The Great Gilly Hopkins,PG,for thematic material and language,60,2016,69.0,80
237,The Magicians,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,89.0,80
238,One Day at a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2017,89.0,82
242,Better Off Single,TV-MA,Parental guidance suggested. May not be suitable for all children.,110,2016,89.0,82
245,The Matchbreaker,PG,Parental guidance suggested. May not be suitable for children.,60,2016,79.0,80
246,Tramps,TV-MA,Parental guidance suggested. May not be suitable for children.,110,2017,79.0,82
247,Slam,TV-MA,Parental guidance suggested. May not be suitable for children.,110,2017,79.0,82
251,10 Things I Hate About You,PG-13,"adult content, adult language and mild violence",80,1999,68.0,80
253,How to Lose a Guy in 10 Days,PG-13,some sex-related material,80,2003,56.0,80
254,The Benchwarmers,PG-13,"crude and suggestive humor, and for language",80,2006,77.0,80
255,Step Up,PG-13,"thematic elements, brief violence and innuendo",80,2006,64.0,80
256,High School Musical 2,TV-G,Suitable for all ages.,35,2007,58.0,80
257,Twilight,PG-13,some violence and one sexual scene,80,2008,89.0,80
258,Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95.0,80
259,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80
261,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81.0,80
262,StarStruck,TV-G,Suitable for all ages.,35,2010,81.0,82
273,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,81.0,82
275,That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89.0,80
278,Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85.0,80
281,Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83.0,80
283,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81.0,80
286,Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62.0,80
288,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93.0,80
289,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79.0,80
292,Fuller House,TV-G,Suitable for all ages.,35,2016,90.0,80
294,Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
296,Gabriel lglesias: IÛªm Sorry For What I Said When I Was Hungry,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
302,The Wedding Planner,PG-13,language and some sexual humor,80,2001,84.0,82
303,Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78.0,80
304,High School Musical,TV-G,Suitable for all ages.,35,2006,64.0,80
309,Bones,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
310,Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97.0,80
313,NCIS,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,97.0,80
325,Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61.0,80
327,Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
332,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80
333,Scandal,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
334,Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80
335,Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80
340,Home,PG,mild action and some rude humor,60,2015,94.0,80
345,Skin Wars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69.0,80
348,Felipe Neto: My Life Makes No Sense,TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,110,2017,69.0,82
350,Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98.0,80
351,Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85.0,80
352,The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,85.0,82
354,Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80
362,Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90.0,80
363,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
364,House of Cards,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,91.0,80
366,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80
372,Unconditional,PG-13,some violent content and mature thematic elements,80,2012,73.0,82
374,The Blacklist,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96.0,80
375,The Fosters,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,73.0,80
379,Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,82
380,Bitten,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,56.0,80
381,London Has Fallen,R,strong violence and language throughout,100,2016,96.0,80
382,Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80
383,Bloodline,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,83.0,82
385,Velvet,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83.0,82
387,The Crown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.0,80
389,Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,84.0,82
390,The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,84.0,82
391,The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,84.0,82
392,Quantico,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,80
399,100 Metros,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,88.0,82
401,Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80
402,Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80
407,Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80
411,Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80
412,Hawaii Five-0,TV-14,"dialogue, language, sexual situations and violence",90,2016,96.0,80
414,Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80
416,Person of Interest,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,93.0,80
418,Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80
420,Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
423,The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,88.0,82
424,"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,88.0,82
425,Longmire,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,92.0,80
426,Ripper Street,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,92.0,82
427,The Fall,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,61.0,80
428,Death in Paradise,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77.0,80
429,Marvel's Agents of S.H.I.E.L.D.,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2016,89.0,80
430,Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80
434,The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,66.0,82
435,Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,66.0,82
436,Gotham,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,85.0,80
440,American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,85.0,82
441,Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,85.0,82
442,Hap and Leonard,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
443,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
445,Limitless,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.0,80
446,Travelers,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,86.0,80
447,The Doctor Blake Mysteries,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,80
448,I.T,NR,For mature audiences.  May not be suitable for children 17 and under.,124,2016,57.0,82
449,Bordertown,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,57.0,82
462,The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80
465,Blue Bloods,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95.0,80
475,Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80
479,Rectify,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,82
485,American Crime,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,88.0,82
486,Madam Secretary,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,70.0,80
493,American Crime Story: The People v. O.J. Simpson,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,79.0,80
501,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
502,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
503,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,92.0,82
504,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
508,Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,57.0,82
509,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,57.0,82
510,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
511,LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,74.0,82
512,Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
513,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
514,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
515,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
516,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,66.0,82
517,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
518,Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80
521,Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,71.0,82
